순위,팀명,경기수,승,무,패,득점,실점,득실차,승점,승률
1,맨체스터 유나이티드 FC,38,28,5,5,86,43,43,89,0.74 
2,맨체스터 시티 FC,38,23,9,6,66,34,32,78,0.61 
3,첼시 FC,38,22,9,7,75,39,36,75,0.58 
4,아스널 FC,38,21,10,7,72,37,35,73,0.55 
5,토트넘 핫스퍼 FC,38,21,9,8,66,46,20,72,0.55 
6,에버튼 FC,38,16,15,7,55,40,15,63,0.42 
7,리버풀 FC,38,16,13,9,71,43,28,61,0.42 
8,웨스트 브로미치 알비온 FC,38,14,7,17,53,57,-4,49,0.37 
9,스완지 시티 AFC,38,11,13,14,47,51,-4,46,0.29 
10,웨스트햄 유나이티드 FC,38,12,10,16,45,53,-8,46,0.32 
11,노리치 시티 FC,38,10,14,14,41,58,-17,44,0.26 
12,풀럼 FC,38,11,10,17,50,60,-10,43,0.29 
13,스토크 시티 FC,38,9,15,14,34,45,-11,42,0.24 
14,사우샘프턴 FC,38,9,14,15,49,60,-11,41,0.24 
15,아스톤 빌라 FC,38,10,11,17,47,69,-22,41,0.26 
16,뉴캐슬 유나이티드 FC,38,11,8,19,45,68,-23,41,0.29 
17,선덜랜드 AFC,38,9,12,17,41,54,-13,39,0.24 
18,위건 애슬레틱 FC,38,9,9,20,47,73,-26,36,0.24 
19,레딩 FC,38,6,10,22,43,73,-30,28,0.16 
20,퀸즈 파크 레인저스 FC,38,4,13,21,30,60,-30,25,0.11 
