순위,팀명,경기수,승,무,패,득점,실점,득실차,승점,승률
1,첼시 FC,38,26,9,3,73,32,41,87,0.68 
2,맨체스터 시티 FC,38,24,7,7,83,38,45,79,0.63 
3,아스널 FC,38,22,9,7,71,36,35,75,0.58 
4,맨체스터 유나이티드 FC,38,20,10,8,62,37,25,70,0.53 
5,토트넘 핫스퍼 FC,38,19,7,12,58,53,5,64,0.50 
6,리버풀 FC,38,18,8,12,52,48,4,62,0.47 
7,사우샘프턴 FC,38,18,6,14,54,33,21,60,0.47 
8,스완지 시티 AFC,38,16,8,14,46,49,-3,56,0.42 
9,스토크 시티 FC,38,15,9,14,48,45,3,54,0.39 
10,크리스탈 팰리스 FC,38,13,9,16,47,51,-4,48,0.34 
11,에버턴 FC,38,12,11,15,48,50,-2,47,0.32 
12,웨스트햄 유나이티드 FC,38,12,11,15,44,47,-3,47,0.32 
13,웨스트 브로미치 알비온 FC,38,11,11,16,38,51,-13,44,0.29 
14,레스터 시티 FC,38,11,8,19,46,55,-9,41,0.29 
15,뉴캐슬 유나이티드 FC,38,10,9,19,40,63,-23,39,0.26 
16,선덜랜드 AFC,38,7,17,14,31,53,-22,38,0.18 
17,애스턴 빌라 FC,38,10,8,20,31,57,-26,38,0.26 
18,헐 시티 AFC,38,8,11,19,33,51,-18,35,0.21 
19,번리 FC,38,7,12,19,28,53,-25,33,0.18 
20,퀸즈 파크 레인저스 FC,38,8,6,24,42,73,-31,30,0.21 
