순위,팀명,경기수,승,무,패,득점,실점,득실차,승점,승률
1,맨체스터 유나이티드 FC,38,23,11,4,78,37,41,80,0.61
2,첼시 FC,38,21,8,9,69,33,36,71,0.55
3,맨체스터 시티 FC,38,21,8,9,60,33,27,71,0.55
4,아스날 FC,38,19,11,8,72,43,29,68,0.50
5,토트넘 핫스퍼 FC,38,16,14,8,55,46,9,62,0.42
6,리버풀 FC,38,17,7,14,59,44,15,58,0.45
7,에버튼 FC,38,13,15,10,51,45,6,54,0.34
8,풀럼 FC,38,11,16,11,49,43,6,49,0.29
9,아스톤 빌라 FC,38,12,12,14,48,59,-11,48,0.32
10,선덜랜드 AFC,38,12,11,15,45,56,-11,47,0.32
11,웨스트 브로미치 알비온 FC,38,12,11,15,56,71,-15,47,0.32
12,뉴캐슬 유나이티드 FC,38,11,13,14,56,57,-1,46,0.29
13,스토크 시티 FC,38,13,7,18,46,48,-2,46,0.34
14,볼튼 원더러스 FC,38,12,10,16,52,56,-4,46,0.32
15,블랙번 로버스 FC,38,11,10,17,46,59,-13,43,0.29
16,위건 애슬레틱 FC,38,9,15,14,40,61,-21,42,0.24
17,울버햄튼 원더러스 FC,38,11,7,20,46,66,-20,40,0.29
18,버밍엄 시티 FC,38,8,15,15,37,58,-21,39,0.21
19,블랙풀 FC,38,10,9,19,55,78,-23,39,0.26
20,웨스트햄 유나이티드 FC,38,7,12,19,43,70,-27,33,0.18
