순위,팀명,경기수,승,무,패,득점,실점,득실차,승점,승률
1,첼시 FC,38,27,5,6,103,32,71,86,0.71
2,맨체스터 유나이티드 FC,38,27,4,7,86,28,58,85,0.71
3,아스날 FC,38,23,6,9,83,41,42,75,0.61
4,토트넘 핫스퍼 FC,38,21,7,10,67,41,26,70,0.55
5,맨체스터 시티 FC,38,18,13,7,73,45,28,67,0.47
6,아스톤 빌라 FC,38,17,13,8,52,39,13,64,0.45
7,리버풀 FC,38,18,9,11,61,35,26,63,0.47
8,에버튼 FC,38,16,13,9,60,49,11,61,0.42
9,버밍엄 시티 FC,38,13,11,14,38,47,-9,50,0.34
10,블랙번 로버스 FC,38,13,11,14,41,55,-14,50,0.34
11,스토크 시티 FC,38,11,14,13,34,48,-14,47,0.29
12,풀럼 FC,38,12,10,16,39,46,-7,46,0.32
13,선덜랜드 AFC,38,11,11,16,48,56,-8,44,0.29
14,볼튼 원더러스 FC,38,10,9,19,42,67,-25,39,0.26
15,울버햄튼 원더러스 FC,38,9,11,18,32,56,-24,38,0.24
16,위건 애슬레틱 FC,38,9,9,20,37,79,-42,36,0.24
17,웨스트햄 유나이티드 FC,38,8,11,19,47,66,-19,35,0.21
18,번리 FC,38,8,6,24,42,82,-40,30,0.21
19,헐 시티 AFC,38,6,12,20,34,75,-41,30,0.16
20,포츠머스 FC,38,7,7,24,34,66,-32,19,0.18
